wr_level,minute,count,avg_target_networth_diff,avg_target_networth_diff_raw,median_target_networth_diff,median_target_networth_diff_raw,min_target_networth_diff,max_target_networth_diff
70,37,165,-8150.25,-8080.83,-6806.0,-6806.0,-27231.0,-106.0
70,38,163,-8150.25,-7784.21,-6895.0,-6895.0,-27445.0,-30.0
70,39,151,-8234.68,-8234.68,-7713.0,-7713.0,-24232.0,-34.0
70,40,137,-8667.0,-8667.0,-8450.0,-8450.0,-24608.0,-244.0
70,41,136,-8667.0,-8196.73,-8450.0,-7154.5,-29998.0,-128.0
70,42,124,-8667.0,-7786.34,-8450.0,-6492.5,-30163.0,-85.0
70,43,109,-8667.0,-8264.23,-8450.0,-7242.0,-30158.0,-185.0
70,44,110,-8667.0,-7878.57,-8450.0,-6364.0,-28246.0,-46.0
70,45,100,-8667.0,-8522.88,-8450.0,-6698.0,-26410.0,-137.0
70,46,89,-8667.0,-8512.74,-8450.0,-6882.0,-26770.0,-49.0
70,47,80,-8667.0,-8527.34,-8450.0,-6821.5,-26807.0,-167.0
70,48,76,-8667.0,-8637.16,-8450.0,-6895.5,-35333.0,-144.0
70,49,77,-8667.0,-8181.57,-8450.0,-6546.0,-32666.0,-75.0
70,50,62,-9384.56,-9384.56,-8450.0,-7601.5,-34143.0,-111.0
70,51,55,-9384.56,-9021.11,-8450.0,-7449.0,-35664.0,-547.0
70,52,47,-9570.28,-9570.28,-8450.0,-8094.0,-37111.0,-134.0
70,53,39,-9570.28,-7496.21,-8450.0,-5295.0,-38028.0,-68.0
70,54,25,-9901.92,-9901.92,-8586.0,-8586.0,-39558.0,-551.0
70,55,25,-9901.92,-9333.92,-8586.0,-7263.0,-43706.0,-40.0
70,56,21,-10765.29,-10765.29,-8586.0,-6734.0,-44747.0,-128.0
70,57,18,-10765.29,-9680.78,-8586.0,-6715.5,-45687.0,-1.0
70,58,17,-10765.29,-9640.12,-8586.0,-6689.0,-40785.0,-331.0
70,59,14,-11047.14,-11047.14,-9865.0,-9865.0,-32794.0,-536.0
70,60,14,-12322.86,-12322.86,-9865.0,-9787.5,-38339.0,-3347.0
70,61,11,-13361.91,-13361.91,-11435.0,-11435.0,-39216.0,-3171.0
70,62,11,-13361.91,-12050.36,-11435.0,-9662.0,-48410.0,-587.0
70,63,7,-15062.57,-15062.57,-11435.0,-10825.0,-52906.0,-712.0
70,64,8,-15062.57,-14689.38,-11435.0,-8515.5,-52813.0,-633.0
70,65,7,-15062.57,-13593.71,-11435.0,-3426.0,-52270.0,-18.0
70,66,6,-15332.5,-15332.5,-11435.0,-7535.5,-48825.0,-415.0
70,68,6,-19968.33,-19968.33,-21013.5,-21013.5,-46231.0,-605.0
75,20,517,-4107.11,-4107.11,-3621.0,-3621.0,-16419.0,-2.0
75,21,518,-4235.27,-4235.27,-3621.0,-3502.5,-19594.0,-33.0
75,22,502,-4626.08,-4626.08,-3721.0,-3721.0,-20908.0,-1.0
75,23,490,-4864.39,-4864.39,-4017.0,-4017.0,-24469.0,-3.0
75,24,481,-5019.5,-5019.5,-4304.0,-4304.0,-27768.0,-12.0
75,25,452,-5421.46,-5421.46,-4583.5,-4583.5,-31466.0,-6.0
75,26,439,-5680.53,-5680.53,-4636.0,-4636.0,-32467.0,-12.0
75,27,425,-5953.04,-5953.04,-4907.0,-4907.0,-33956.0,-16.0
75,28,424,-6030.46,-6030.46,-4907.0,-4903.0,-28653.0,-22.0
75,29,405,-6309.33,-6309.33,-5018.0,-5018.0,-31505.0,-6.0
75,30,385,-6560.42,-6560.42,-5536.0,-5536.0,-33070.0,-24.0
75,31,369,-6777.16,-6777.16,-5704.0,-5704.0,-34180.0,-25.0
75,32,362,-6845.64,-6845.64,-5704.0,-5576.5,-29217.0,-45.0
75,33,353,-6845.64,-6746.31,-5704.0,-5655.0,-28204.0,-3.0
75,34,329,-7091.25,-7091.25,-5960.0,-5960.0,-29212.0,-49.0
75,35,304,-7276.86,-7276.86,-6701.0,-6701.0,-32158.0,-77.0
75,36,276,-7347.08,-7347.08,-6701.0,-6240.5,-30499.0,-125.0
75,37,258,-7364.65,-7364.65,-6701.0,-6060.5,-30286.0,-115.0
75,38,242,-7364.65,-7342.94,-6701.0,-6361.5,-28398.0,-14.0
75,39,223,-7364.65,-7188.13,-6701.0,-6244.0,-27559.0,-47.0
75,40,204,-7414.59,-7414.59,-6701.0,-6406.0,-25170.0,-111.0
75,41,179,-8212.25,-8212.25,-7136.0,-7136.0,-31644.0,-134.0
75,42,168,-8470.21,-8470.21,-7191.0,-7191.0,-29463.0,-9.0
75,43,164,-8470.21,-8205.06,-7191.0,-7039.0,-24515.0,-27.0
75,44,147,-8470.21,-8196.46,-7900.0,-7900.0,-23278.0,-122.0
75,45,131,-8470.21,-7454.2,-7900.0,-6433.0,-26369.0,-123.0
75,46,112,-8470.21,-8188.79,-7931.0,-7931.0,-28418.0,-151.0
75,47,104,-8736.79,-8736.79,-8203.5,-8203.5,-21041.0,-304.0
75,48,98,-8736.79,-7944.19,-8203.5,-7021.0,-23590.0,-151.0
75,49,82,-8736.79,-8586.77,-8203.5,-6638.5,-27572.0,-52.0
75,50,79,-8736.79,-7512.92,-8203.5,-6039.0,-29128.0,-7.0
75,51,65,-8736.79,-7610.38,-8203.5,-5288.0,-30469.0,-489.0
75,52,57,-8736.79,-6970.44,-8203.5,-4908.0,-29465.0,-43.0
75,53,41,-8736.79,-7590.0,-8203.5,-6159.0,-29350.0,-102.0
75,54,34,-8736.79,-7900.15,-8203.5,-5507.5,-33922.0,-531.0
75,55,27,-8765.52,-8765.52,-8203.5,-4883.0,-36780.0,-483.0
75,56,25,-8765.52,-8260.4,-8203.5,-5031.0,-35080.0,-253.0
75,57,18,-10773.11,-10773.11,-8203.5,-7831.0,-35189.0,-851.0
75,58,17,-10773.11,-10559.35,-8203.5,-7185.0,-33517.0,-955.0
75,59,18,-10773.11,-9662.89,-8203.5,-3622.5,-34812.0,-127.0
75,60,12,-12253.25,-12253.25,-8203.5,-7653.5,-32641.0,-330.0
75,61,12,-12253.25,-11044.17,-8203.5,-6249.5,-29312.0,-1408.0
75,62,12,-12253.25,-9864.25,-8203.5,-7139.5,-29736.0,-425.0
75,63,8,-12253.25,-12211.38,-9951.5,-9951.5,-32293.0,-362.0
75,64,9,-12644.89,-12644.89,-15431.0,-15431.0,-25895.0,-141.0
75,65,7,-13650.14,-13650.14,-15431.0,-14888.0,-17685.0,-4483.0
80,20,410,-4177.55,-4177.55,-3695.0,-3695.0,-16459.0,-2.0
80,21,409,-4478.95,-4478.95,-3739.0,-3739.0,-15734.0,-8.0
80,22,403,-4785.01,-4785.01,-3857.0,-3857.0,-17743.0,-3.0
80,23,395,-5060.5,-5060.5,-4187.0,-4187.0,-19152.0,-6.0
80,24,380,-5454.88,-5454.88,-4803.0,-4803.0,-18896.0,-24.0
80,25,381,-5661.09,-5661.09,-4942.0,-4942.0,-19850.0,-10.0
80,26,380,-5767.01,-5767.01,-5219.0,-5219.0,-22262.0,-7.0
80,27,371,-5959.36,-5959.36,-5219.0,-5103.0,-25163.0,-42.0
80,28,353,-6101.01,-6101.01,-5219.0,-5161.0,-20472.0,-38.0
80,29,322,-6585.61,-6585.61,-5352.5,-5352.5,-23336.0,-2.0
80,30,311,-6737.85,-6737.85,-5607.0,-5607.0,-26536.0,-59.0
80,31,293,-7052.84,-7052.84,-6211.0,-6211.0,-32874.0,-8.0
80,32,286,-7248.99,-7248.99,-6211.0,-5684.0,-25971.0,-16.0
80,33,256,-7794.73,-7794.73,-6223.0,-6223.0,-26237.0,-29.0
80,34,241,-8227.81,-8227.81,-6890.0,-6890.0,-29748.0,-2.0
80,35,235,-8255.1,-8255.1,-7047.0,-7047.0,-35230.0,-11.0
80,36,222,-8255.1,-8245.87,-7339.0,-7339.0,-29910.0,-10.0
80,37,207,-8435.96,-8435.96,-7339.0,-6888.0,-32230.0,-107.0
80,38,201,-8435.96,-8358.76,-7339.0,-6635.0,-36793.0,-104.0
80,39,183,-8523.46,-8523.46,-7339.0,-7044.0,-42366.0,-99.0
80,40,171,-8523.46,-8102.88,-7339.0,-6868.0,-44442.0,-38.0
80,41,148,-8523.46,-8291.29,-7339.0,-6884.5,-36644.0,-86.0
80,42,134,-8672.33,-8672.33,-7892.0,-7892.0,-36732.0,-41.0
80,43,133,-8672.33,-8536.15,-7892.0,-7408.0,-37456.0,-6.0
80,44,115,-8758.81,-8758.81,-7892.0,-7372.0,-29309.0,-201.0
80,45,106,-8758.81,-8133.43,-7892.0,-7260.0,-28793.0,-31.0
80,46,95,-8758.81,-7788.13,-7892.0,-6595.0,-32366.0,-40.0
80,47,80,-8758.81,-7882.73,-7892.0,-6263.0,-34558.0,-31.0
80,48,69,-8758.81,-7784.35,-7892.0,-6106.0,-37866.0,-134.0
