hero_id,aggression,feed,pace,gpm,total_matches
43,0.5295,0.1665,2415.7,563.3,55132
44,0.4898,0.1574,2377.5,643.9,119045
45,0.5654,0.2144,2384.4,373.9,80357
46,0.5076,0.1332,2375.9,688.7,151500
47,0.5296,0.202,2450.1,517.0,37930
48,0.4664,0.1443,2373.4,711.2,66368
49,0.4748,0.1426,2344.6,600.8,98958
50,0.5452,0.1959,2365.2,409.9,89067
51,0.6002,0.2383,2409.3,340.9,113913
52,0.5962,0.2012,2416.0,562.9,119021
53,0.6492,0.2011,2405.3,644.6,295275
54,0.4919,0.1163,2397.2,627.2,152584
55,0.5662,0.1749,2378.0,515.9,69011
56,0.575,0.1745,2416.9,592.0,48130
57,0.4864,0.1818,2386.7,431.7,31281
58,0.47,0.1847,2392.6,372.4,18758
59,0.4778,0.2089,2300.7,557.5,103248
60,0.5293,0.1596,2370.4,486.1,104623
61,0.5716,0.15,2258.4,638.7,34095
62,0.6002,0.232,2342.4,440.9,85510
63,0.5913,0.1813,2412.8,457.0,161792
64,0.5458,0.2305,2404.9,359.6,193287
65,0.5807,0.2184,2393.4,468.5,50243
66,0.5228,0.1737,2269.4,366.2,11878
67,0.6689,0.1468,2463.0,597.9,67813
68,0.586,0.2188,2492.7,367.1,188726
69,0.5046,0.1969,2442.5,581.0,81344
70,0.5088,0.1462,2454.9,664.0,193900
71,0.6563,0.2278,2375.5,394.0,116557
72,0.5117,0.1785,2406.3,615.6,81630
73,0.4281,0.1769,2365.3,639.0,59350
74,0.5732,0.1627,2444.3,557.0,236159
75,0.6183,0.2161,2421.2,360.3,256777
76,0.4543,0.15,2418.6,572.4,101100
77,0.5682,0.1267,2340.1,608.3,29003
78,0.5272,0.1536,2415.9,515.5,21242
79,0.5676,0.216,2452.5,354.1,44348
80,0.4358,0.1259,2297.8,573.4,21548
81,0.4958,0.183,2414.5,542.7,31890
82,0.4939,0.1468,2239.7,685.4,32706
83,0.5889,0.21,2389.7,334.5,29404
84,0.5546,0.2106,2398.9,418.4,128714
85,0.6326,0.2297,2410.7,420.3,136582
86,0.5769,0.2009,2439.7,407.0,280454
87,0.6508,0.2205,2416.0,331.2,155336
88,0.5786,0.2376,2429.8,383.7,56958
89,0.4693,0.1567,2391.3,489.9,11827
