h2h_score,common_score,transitive_score,total_score,h2h_series,common_series,transitive_series,total_series,info_units,elo_radiant,elo_dire,elo_diff,elo_score,strength,confidence,period_days,decision_mode,confidence_label,radiant_win
0.0,0.0,0.0,0.08560594202743535,0,0,0,0,0,1611.3116256123349,1598.4707343082196,12.840891304115303,0.08560594202743535,0.08560594202743535,0.08560594202743535,30,elo_only,низкая,0
2.5883787219625276,0.3214876351452959,0.11921840476775802,2.6950964325148776,3,8,5,11,11.0,1744.8962857058586,1584.5171625862747,160.37912311958394,1.0691941541305596,1.0,1.0,30,primary,высокая,1
0.0,0.0,0.0,-0.21041689378165757,0,0,0,0,0,1536.3008042736808,1567.8633383409294,-31.562534067248635,-0.21041689378165757,0.21041689378165757,0.21041689378165757,30,elo_only,низкая,0
2.584352221183034,0.3208295219961431,0.11897435432468821,2.7700607904692323,3,8,5,11,11.0,1750.7184134698025,1578.6950348223309,172.02337864747165,1.1468225243164776,1.0,1.0,30,primary,высокая,1
0.0,0.0,0.0,-0.2362731120408307,0,0,0,0,0,1533.9737446303552,1569.4147114364798,-35.44096680612461,-0.2362731120408307,0.2362731120408307,0.2362731120408307,30,elo_only,низкая,1
0.0,0.0,0.0,-0.20289890146308912,0,0,0,0,0,1536.977423582352,1567.4122588018154,-30.434835219463366,-0.20289890146308912,0.20289890146308912,0.20289890146308912,30,elo_only,низкая,0
0.0,0.0,0.0,1.057814408584818,0,0,0,0,0,1642.0119298959266,1483.339768608204,158.6721612877227,1.057814408584818,1.0,1.0,30,elo_only,высокая,1
0.0,0.0,0.0,1.1166701995440917,0,0,0,0,0,1647.5425051204986,1480.0419751888849,167.50052993161376,1.1166701995440917,1.0,1.0,30,elo_only,высокая,0
0.0,0.0,0.0,0.6253192727216704,0,0,0,0,0,1629.1168453646578,1535.3189544564073,93.79789090825057,0.6253192727216704,0.6253192727216704,0.6253192727216704,30,elo_only,средняя,1
0.0,0.0,0.0,0.061407124166598805,0,0,0,0,0,1509.2110686249898,1500.0,9.21106862498982,0.061407124166598805,0.061407124166598805,0.061407124166598805,30,elo_only,низкая,1
